feature,importance
jobType_JANITOR,0.2182849026792524
yearsExperience,0.18671919583661042
milesFromMetropolis,0.12977127293383997
major_NONE,0.08562541642542967
jobType_JUNIOR,0.07476353234830248
jobType_CEO,0.04849372258700227
jobType_SENIOR,0.040218987147132054
industry_FINANCE,0.028979129353591614
industry_EDUCATION,0.028568660279787914
industry_OIL,0.02523390915624706
jobType_CFO,0.023344968783597368
jobType_CTO,0.020593759761907977
industry_SERVICE,0.015828365500616264
degree_DOCTORAL,0.01403347604865882
industry_WEB,0.009881490679140459
jobType_MANAGER,0.009699584040318484
degree_NONE,0.0065082439374205365
major_ENGINEERING,0.005839066730497194
industry_AUTO,0.005362875473309822
degree_MASTERS,0.00433833130394463
major_BUSINESS,0.004247575482067923
jobType_VICE_PRESIDENT,0.004209042556089192
industry_HEALTH,0.0026497491759250916
major_LITERATURE,0.0023012253974636944
major_MATH,0.0013213383266440087
degree_HIGH_SCHOOL,0.0009454125562301204
major_BIOLOGY,0.0006751410426700295
major_CHEMISTRY,0.0006698854435859856
major_PHYSICS,0.00032866402109675216
degree_BACHELORS,0.00028501374135896465
major_COMPSCI,7.292759024737248e-05
companyId_COMP36,8.977280395946864e-06
companyId_COMP13,8.28642735548347e-06
companyId_COMP46,7.84342965938936e-06
companyId_COMP9,7.501134878181153e-06
companyId_COMP24,6.001546903632866e-06
companyId_COMP34,5.954550601369514e-06
companyId_COMP56,5.7714107645311346e-06
companyId_COMP30,5.568066503083512e-06
companyId_COMP62,5.387795535593789e-06
companyId_COMP21,5.295029977077455e-06
companyId_COMP26,5.050009763013122e-06
companyId_COMP61,4.96677912975083e-06
companyId_COMP60,4.892852678729671e-06
companyId_COMP42,4.858598042398424e-06
companyId_COMP48,4.794071646478942e-06
companyId_COMP38,4.679292101849164e-06
companyId_COMP44,4.6709104666240855e-06
companyId_COMP15,4.329418324778266e-06
companyId_COMP20,4.326807134770728e-06
companyId_COMP17,4.144081974298552e-06
companyId_COMP53,4.067539531932577e-06
companyId_COMP1,4.024982091334926e-06
companyId_COMP12,3.828480168646411e-06
companyId_COMP47,3.593886815168522e-06
companyId_COMP57,3.5864052334291974e-06
companyId_COMP10,3.4808957829062475e-06
companyId_COMP11,3.299335728960327e-06
companyId_COMP55,3.2151999606802623e-06
companyId_COMP31,3.194768128584251e-06
companyId_COMP28,3.194010673639769e-06
companyId_COMP4,3.141542740896909e-06
companyId_COMP2,3.093236256834776e-06
companyId_COMP18,2.980912528318065e-06
companyId_COMP6,2.7499508688879294e-06
companyId_COMP59,2.7040592736093534e-06
companyId_COMP52,2.6640705810515038e-06
companyId_COMP58,2.6307018287697094e-06
companyId_COMP32,2.5786129498754213e-06
companyId_COMP16,2.5407137705434973e-06
companyId_COMP22,2.3570084497261733e-06
companyId_COMP33,2.311830055792908e-06
companyId_COMP39,2.1411113235086626e-06
companyId_COMP27,2.014429786607649e-06
companyId_COMP23,2.0140882760201875e-06
companyId_COMP19,1.9740685569379756e-06
companyId_COMP35,1.9005248500355385e-06
companyId_COMP49,1.7962437995110849e-06
companyId_COMP54,1.7617804415271938e-06
companyId_COMP14,1.7250389353092827e-06
companyId_COMP8,1.633656916992798e-06
companyId_COMP41,1.2719521116737284e-06
companyId_COMP43,1.1425891309642477e-06
companyId_COMP37,1.0468260645924383e-06
companyId_COMP29,1.041053425941227e-06
companyId_COMP5,1.0401018861124935e-06
companyId_COMP45,1.0320739985294347e-06
companyId_COMP51,9.327549484729245e-07
companyId_COMP50,8.15632596514701e-07
companyId_COMP3,7.458053769309106e-07
companyId_COMP40,3.734088867328831e-07
companyId_COMP7,1.9288144402788789e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
